orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[28],pad_fpga_io[28],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[28],pad_fpga_io[28],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[29],pad_fpga_io[29],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[29],pad_fpga_io[29],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[30],pad_fpga_io[30],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[30],pad_fpga_io[30],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[31],pad_fpga_io[31],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[31],pad_fpga_io[31],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[32],pad_fpga_io[32],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[32],pad_fpga_io[32],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[33],pad_fpga_io[33],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[33],pad_fpga_io[33],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[34],pad_fpga_io[34],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[34],pad_fpga_io[34],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[35],pad_fpga_io[35],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[35],pad_fpga_io[35],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[36],pad_fpga_io[36],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[36],pad_fpga_io[36],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[37],pad_fpga_io[37],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[37],pad_fpga_io[37],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[38],pad_fpga_io[38],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[38],pad_fpga_io[38],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[39],pad_fpga_io[39],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[39],pad_fpga_io[39],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[40],pad_fpga_io[40],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[40],pad_fpga_io[40],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[41],pad_fpga_io[41],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[41],pad_fpga_io[41],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[42],pad_fpga_io[42],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[42],pad_fpga_io[42],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[43],pad_fpga_io[43],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[43],pad_fpga_io[43],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[44],pad_fpga_io[44],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[44],pad_fpga_io[44],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[45],pad_fpga_io[45],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[45],pad_fpga_io[45],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[46],pad_fpga_io[46],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[46],pad_fpga_io[46],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[47],pad_fpga_io[47],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[47],pad_fpga_io[47],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[48],pad_fpga_io[48],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[48],pad_fpga_io[48],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[49],pad_fpga_io[49],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[49],pad_fpga_io[49],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[50],pad_fpga_io[50],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[50],pad_fpga_io[50],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[51],pad_fpga_io[51],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[51],pad_fpga_io[51],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[52],pad_fpga_io[52],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[52],pad_fpga_io[52],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[53],pad_fpga_io[53],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[53],pad_fpga_io[53],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[54],pad_fpga_io[54],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[54],pad_fpga_io[54],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[55],pad_fpga_io[55],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[55],pad_fpga_io[55],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[56],pad_fpga_io[56],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[56],pad_fpga_io[56],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[57],pad_fpga_io[57],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[57],pad_fpga_io[57],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[58],pad_fpga_io[58],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[58],pad_fpga_io[58],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[59],pad_fpga_io[59],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[59],pad_fpga_io[59],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[60],pad_fpga_io[60],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[60],pad_fpga_io[60],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[61],pad_fpga_io[61],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[61],pad_fpga_io[61],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[62],pad_fpga_io[62],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[62],pad_fpga_io[62],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[63],pad_fpga_io[63],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[63],pad_fpga_io[63],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[64],pad_fpga_io[64],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[64],pad_fpga_io[64],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[65],pad_fpga_io[65],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[65],pad_fpga_io[65],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[66],pad_fpga_io[66],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[66],pad_fpga_io[66],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[67],pad_fpga_io[67],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[67],pad_fpga_io[67],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[68],pad_fpga_io[68],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[68],pad_fpga_io[68],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[69],pad_fpga_io[69],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[69],pad_fpga_io[69],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[70],pad_fpga_io[70],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[70],pad_fpga_io[70],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[71],pad_fpga_io[71],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[71],pad_fpga_io[71],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[72],pad_fpga_io[72],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[72],pad_fpga_io[72],out,,
